id,group
G00001,SMBCアビエーション・キャピタル
G00002,マレーシア航空
G00003,エティハド航空
G00004,エアージャパン
G00005,スターフライヤー
G00006,キャセイパシフィック航空
G00007,イベリア航空
G00008,バティックエアー・マレーシア
G00009,ペガサス航空
G00010,タイガーエア
G00011,エア・ドゥ
G00012,グローバル・エアラインズ
G00013,マイクロジェット
G00014,アボロン
G00015,ANA
G00016,ガルーダ・インドネシア航空
G00017,ジェットブルー航空
G00018,成田空港
G00019,香港航空
G00020,ノーザンパシフィック航空
G00021,中国東方航空
G00022,イースター航空
G00023,九州佐賀国際空港
G00024,JAL
G00025,アシアナ航空
G00026,成田国際空港
G00027,JTA
G00028,MIATモンゴル航空
G00029,春秋航空
G00030,ラタム航空
G00031,リヤド・エア
G00032,那覇空港
G00033,ブリティッシュ・エアウェイズ
G00034,エルアル・イスラエル航空
G00035,新千歳空港
G00036,伊丹空港
G00037,AirJapan
G00038,スイス・インターナショナル・エアラインズ
G00039,ジェットスター航空
G00040,能登空港
G00041,LOTポーランド航空
G00042,ウエストジェット航空
G00043,タイガーエア・台湾
G00044,カタール航空
G00045,トキエア
G00046,エアカラン
G00047,ジェットスター・アジア航空
G00048,ユナイテッド航空
G00049,エアロK
G00050,ZIPAIR Tokyo
G00051,ANAホールディングス
G00052,アラスカ航空
G00053,「JAL ミャクミャクJET」
G00054,ジェットスター
G00055,チェジュ航空
G00056,ITAエアウェイズ
G00057,ANAのふるさと納税
G00058,ジェットスター・ジャパン
G00059,北九州空港
G00060,スプリング・ジャパン
G00061,FDA
G00062,JALとジャルパック
G00063,厦門航空
G00064,ルフトハンザ・ドイツ航空
G00065,中国南方航空
G00066,アムステルダム・スキポール空港
G00067,ノースアトランティック航空
G00068,KLMオランダ航空
G00069,フィリピン航空
G00070,JALふるさと納税
G00071,スカイマーク
G00072,JALのエアバスA350-1000型機初号機
G00073,深セン航空
G00074,ヴァージン・アトランティック航空
G00075,カンタス航空
G00076,アメリカン航空
G00077,ジェットスター労組
G00078,ジンエアー
G00079,エアアジアX
G00080,【特集】JALの新国際線機
G00081,チャイナエアライン
G00082,カンタスグループ
G00083,エアアジアグループ
G00084,JALのエアバスA350-1000型機
G00085,アムステルダム・スキポール空港の発着枠一時削減
G00086,タイ・エアアジアX
G00087,成都航空
G00088,ターキッシュ・エアラインズ
G00089,エジプト航空
G00090,上海航空
G00091,JALグループ
G00092,香港国際空港
G00093,中部国際空港
G00094,大韓航空
G00095,炎上のJAL機
G00096,ANAマイレージクラブ
G00097,JALラウンジのカレー皿
G00098,ANAグループ
G00099,タイ国際航空
G00100,キャセイグループ
G00101,ヴァージン・オーストラリア
G00102,ルフトハンザグループ各社
G00103,エールフランスKLM
G00104,スターラックス航空
G00105,エチオピア航空
G00106,ルフトハンザグループ
G00107,フィンエアー
G00108,福岡空港の制限エリアを巡るオープントップバスツアー
G00109,エア・カナダ
G00110,ANAトラベラーズ
G00111,ハワイアン航空
G00112,関西国際空港
G00113,セントレア
G00114,マカオ航空
G00115,ソラシドエア
G00116,JTAとRAC
G00117,ヘルシンキ・ヴァンター国際空港
G00118,エアソウル
G00119,エアバス
G00120,ノルウェー・エアシャトル
G00121,はとバス
G00122,エバー航空
G00123,エア・タヒチ・ヌイ
G00124,スターアライアンス
G00125,ピーチ
G00126,ニューパシフィック航空
G00127,オリエンタルエアブリッジ
G00128,HAC
G00129,ニュージーランド航空
G00130,デルタ航空
G00131,エミレーツ航空
G00132,JAL最後の777-200ER
G00133,グレーターベイ航空
G00134,「ANA Pay」
G00135,エアアジア
G00136,ベトナム航空
G00137,アメックス
G00138,吉祥航空
G00139,フィリピン・エアアジア
G00140,アメリカ運輸省
G00141,フジドリームエアラインズ
G00142,DHLエクスプレス
G00143,香港エクスプレス航空
G00144,北海道エアシステム
G00145,シンガポール航空
G00146,タイ・ベトジェットエア
G00147,エアプサン
G00148,ロイヤル・エア・モロッコ
G00149,セブパシフィック航空
G00150,中国国際航空
G00151,スカンジナビア航空
G00152,国土交通省航空局
G00153,エールフランス航空
G00154,スクート
G00155,ティーウェイ航空
G00156,ベトジェットエア
